	Unnamed: 0	SrcID	SrcName	TrgID	TrgName	Mode	PMID
163	163	367	AR	7054	TH	positive	16356647
164	164	367	AR	7082	TJP1	positive	18535113
165	165	367	AR	7113	TMPRSS2	positive	20308527;21761340
168	168	367	AR	7248	TSC1	negative	21036700
169	169	367	AR	7249	TSC2	negative	21036700
170	170	367	AR	7349	UCN	negative	23801677
173	173	367	AR	7422	VEGFA	positive	16007189
175	175	367	AR	7431	VIM	negative	18535113
176	176	367	AR	7465	WEE1	negative	16281084
177	177	367	AR	7477	WNT7B	positive	21741601
178	178	367	AR	331	XIAP	negative	20589722
180	180	8289	ARID1A	3492	IGH	positive	18981111
182	182	57492	ARID1B	3492	IGH	positive	18981111
187	187	1820	ARID3A	5371	PML	positive	22010578
192	192	405	ARNT	768	CA9	positive	22387692
193	193	405	ARNT	898	CCNE1	negative	21544813
194	194	405	ARNT	1017	CDK2	negative	21544813
196	196	405	ARNT	1543	CYP1A1	positive	22387692
198	198	405	ARNT	1545	CYP1B1	positive	16115918;19287966
201	201	405	ARNT	2056	EPO	positive	8663540
203	203	405	ARNT	2353	FOS	negative	21544813
205	205	405	ARNT	3091	HIF1A	positive	14764593
206	206	405	ARNT	3725	JUN	negative	21544813
211	211	406	ARNTL	8553	BHLHE40	positive	19032342
212	212	406	ARNTL	1407	CRY1	positive	22750052
214	214	406	ARNTL	1408	CRY2	positive	22750052
216	216	406	ARNTL	5187	PER1	positive	17994337;22750052
218	218	406	ARNTL	8864	PER2	positive	22750052
220	220	406	ARNTL	8863	PER3	positive	22750052
221	221	56938	ARNTL2	5054	SERPINE1	positive	22198637
229	229	429	ASCL1	22943	DKK1	negative	19744316
230	230	429	ASCL1	3481	IGF2	negative	20842449
231	231	429	ASCL1	5046	PCSK6	negative	11736660
232	232	429	ASCL1	7166	TPH1	negative	19744316
237	237	466	ATF1	8900	CCNA1	negative	12044952
238	238	466	ATF1	1080	CFTR	positive	10075672
244	244	466	ATF1	2495	FTH1	positive	17565989
245	245	466	ATF1	2495	FTH1	negative	17565989
247	247	466	ATF1	3586	IL10	positive	10540320
249	249	466	ATF1	81631	MAP1LC3B	positive	20514020
250	250	466	ATF1	4286	MITF	positive	12966428
254	254	466	ATF1	5122	PCSK1	positive	8999965
256	256	466	ATF1	6574	SLC20A1	positive	11722845
258	258	466	ATF1	7042	TGFB2	positive	11776974
262	262	1386	ATF2	345	APOC3	positive	9760243
263	263	1386	ATF2	467	ATF3	positive	10979959;20581861;8576171
264	264	1386	ATF2	595	CCND1	positive	10464245;10915780
273	273	1386	ATF2	10524	KAT5	negative	18397884
274	274	1386	ATF2	3456	IFNB1	positive	17496231
276	276	1386	ATF2	3458	IFNG	positive	12836278;18641343;20006311;20304822
278	278	1386	ATF2	3630	INS	positive	21278380
281	281	1386	ATF2	3725	JUN	positive	9502786
283	283	1386	ATF2	4313	MMP2	positive	17079470;17258390
284	284	1386	ATF2	4846	NOS3	negative	16497991
285	285	1386	ATF2	5105	PCK1	positive	12453892
287	287	1386	ATF2	5327	PLAT	positive	8647095
289	289	1386	ATF2	5423	POLB	positive	10518804
291	291	1386	ATF2	5970	RELA	positive	21350211
292	292	1386	ATF2	56729	RETN	positive	20360975
293	293	1386	ATF2	8869	ST3GAL5	positive	21699754
294	294	1386	ATF2	7042	TGFB2	negative	1400310
295	295	1386	ATF2	7124	TNF	positive	10688670;10748079;10913190;20068037
296	296	467	ATF3	51094	ADIPOR1	negative	20696134
297	297	467	ATF3	79602	ADIPOR2	negative	20696134
299	299	467	ATF3	440	ASNS	positive	12881527
303	303	467	ATF3	1649	DDIT3	positive	22753726
304	304	467	ATF3	9518	GDF15	positive	15670751
305	305	467	ATF3	3397	ID1	negative	20565867
306	306	467	ATF3	3458	IFNG	positive	20304822
308	308	467	ATF3	3949	LDLR	negative	21294679
309	309	467	ATF3	4313	MMP2	negative	11792711;15102941
311	311	467	ATF3	6401	SELE	negative	10964678
313	313	468	ATF4	348	APOE	positive	22028770
314	314	468	ATF4	440	ASNS	positive	11960987;16164412;17276738
316	316	468	ATF4	467	ATF3	positive	16246168;21801305
318	318	468	ATF4	9474	ATG5	positive	20038797
322	322	468	ATF4	1051	CEBPB	positive	16026328
323	323	468	ATF4	79094	CHAC1	positive	21737788
325	325	468	ATF4	1649	DDIT3	positive	16246168;17276738;20020050;21044953;21966512
327	327	468	ATF4	54541	DDIT4	positive	19059405;19439225
328	328	468	ATF4	4921	DDR2	positive	20564243
331	331	468	ATF4	9965	FGF19	positive	23205607
332	332	468	ATF4	26291	FGF21	positive	22233381
333	333	468	ATF4	8739	HRK	positive	23090478
334	334	468	ATF4	3309	HSPA5	negative	16205636
335	335	468	ATF4	3484	IGFBP1	positive	16687408
337	337	468	ATF4	3665	IRF7	negative	21148039
338	338	468	ATF4	81631	MAP1LC3B	positive	20038797;20514020
340	340	468	ATF4	10403	NDC80	positive	17822787
341	341	468	ATF4	26471	NUPR1	positive	19946894
342	342	468	ATF4	5328	PLAU	positive	18829529
345	345	468	ATF4	10280	SIGMAR1	positive	22079628
346	346	468	ATF4	23411	SIRT1	positive	22363646
347	347	468	ATF4	23411	SIRT1	negative	21801305
348	348	468	ATF4	22933	SIRT2	negative	21801305
350	350	468	ATF4	57761	TRIB3	positive	15775988
352	352	468	ATF4	7422	VEGFA	positive	15788408;18829529
354	354	22809	ATF5	596	BCL2	positive	21212266
355	355	22809	ATF5	896	CCND3	positive	16300731
356	356	22809	ATF5	1385	CREB1	positive	17140605
357	357	22809	ATF5	1555	CYP2B6	positive	18332083
360	360	22809	ATF5	3397	ID1	negative	18701499
365	365	22926	ATF6	5611	DNAJC3	positive	12601012
367	367	22926	ATF6	389692	MAFA	negative	18450959
368	368	22926	ATF6	8431	NR0B2	positive	18450959
369	369	22926	ATF6	4924	NUCB1	positive	17686766
370	370	22926	ATF6	3651	PDX1	negative	18450959
371	371	22926	ATF6	10313	RTN3	positive	17191123
373	373	22926	ATF6	134429	STARD4	positive	16579971
374	374	22926	ATF6	23559	WBP1	positive	21841196
377	377	11016	ATF7	6883	TAF12	positive	15735663
379	379	472	ATM	581	BAX	positive	16214353
380	380	472	ATM	596	BCL2	negative	16214353
382	382	472	ATM	8837	CFLAR	positive	19351839
383	383	472	ATM	8837	CFLAR	negative	20876284
384	384	472	ATM	1843	DUSP1	positive	17178844
385	385	472	ATM	355	FAS	positive	19502594
386	386	472	ATM	2305	FOXM1	positive	21518729
387	387	472	ATM	1647	GADD45A	positive	20164679
389	389	472	ATM	22914	KLRK1	positive	19767562
390	390	472	ATM	4170	MCL1	positive	20164679
394	394	472	ATM	5366	PMAIP1	negative	20368352
395	395	472	ATM	5817	PVR	positive	21406724
396	396	472	ATM	5817	PVR	negative	21406724
397	397	472	ATM	6513	SLC2A1	negative	20676049
398	398	472	ATM	6667	SP1	negative	11466608
400	400	472	ATM	7013	TERF1	negative	17694070
401	401	472	ATM	8795	TNFRSF10B	negative	19351839
402	402	472	ATM	7422	VEGFA	negative	20676049
403	403	474	ATOH1	55502	HES6	positive	17826772
404	404	474	ATOH1	4583	MUC2	positive	17000673
405	405	546	ATRX	3039	HBA1	negative	7697714
406	406	546	ATRX	3040	HBA2	negative	7697714
407	407	571	BACH1	3162	HMOX1	positive	17942419
408	408	571	BACH1	3162	HMOX1	negative	17409198;18550526;21982894
409	409	571	BACH1	4312	MMP1	positive	21873975
412	412	60468	BACH2	7494	XBP1	negative	24821775
413	413	580	BARD1	2099	ESR1	positive	20060929
416	416	53335	BCL11A	2623	GATA1	positive	23071749
418	418	602	BCL3	10664	CTCF	negative	21912613
419	419	602	BCL3	1956	EGFR	positive	17881446
421	421	602	BCL3	4790	NFKB1	negative	11387332
424	424	604	BCL6	598	BCL2L1	negative	11777915
425	425	604	BCL6	604	BCL6	negative	12407182
426	426	604	BCL6	894	CCND2	negative	15509806;22723377
427	427	604	BCL6	941	CD80	negative	12860928
428	428	604	BCL6	1026	CDKN1A	negative	16142238
429	429	604	BCL6	1030	CDKN2B	negative	22723377
430	430	604	BCL6	1111	CHEK1	negative	18346918
431	431	604	BCL6	2208	FCER2	negative	11342629
432	432	604	BCL6	51564	HDAC7	negative	11929873
433	433	604	BCL6	3662	IRF4	negative	10601358
434	434	604	BCL6	9516	LITAF	negative	23795761
435	435	604	BCL6	4609	MYC	positive	21394099
436	436	604	BCL6	4790	NFKB1	negative	15611242
437	437	604	BCL6	5134	PDCD2	negative	20605493
440	440	604	BCL6	7341	SUMO1	negative	22723377
441	441	604	BCL6	7494	XBP1	negative	24821775
445	445	79365	BHLHE41	595	CCND1	negative	18223678
446	446	79365	BHLHE41	4292	MLH1	negative	24165159
448	448	648	BMI1	7015	TERT	negative	19903340
450	450	672	BRCA1	374	AREG	negative	20103632
451	451	672	BRCA1	259266	ASPM	positive	16123590
452	452	672	BRCA1	472	ATM	positive	22832221
458	458	672	BRCA1	1001	CDH3	negative	22120723
460	460	672	BRCA1	1026	CDKN1A	positive	16735508;18025037;21245169
462	462	672	BRCA1	1027	CDKN1B	positive	18025037
464	464	672	BRCA1	1509	CTSD	negative	11244506
465	465	672	BRCA1	2919	CXCL1	negative	22120723
466	466	672	BRCA1	1588	CYP19A1	positive	21087664
470	470	672	BRCA1	1643	DDB2	positive	12170778
471	471	672	BRCA1	1649	DDIT3	positive	21700680
472	472	672	BRCA1	1876	E2F6	negative	17096023
473	473	672	BRCA1	1956	EGFR	negative	21396117
475	475	672	BRCA1	2033	EP300	positive	11782371
477	477	672	BRCA1	2099	ESR1	positive	20060929
479	479	672	BRCA1	2296	FOXC1	negative	22120723
480	480	672	BRCA1	2303	FOXC2	negative	22120723
481	481	672	BRCA1	10468	FST	positive	22685544
482	482	672	BRCA1	1647	GADD45A	positive	10962562;17428466;18025037
483	483	672	BRCA1	1647	GADD45A	negative	18350249
486	486	672	BRCA1	8091	HMGA2	negative	20007691
487	487	672	BRCA1	3181	HNRNPA2B1	negative	21099359
488	488	672	BRCA1	3309	HSPA5	negative	18776923
489	489	672	BRCA1	3439	IFNA1	positive	17374731
490	490	672	BRCA1	3479	IGF1	negative	18045956
492	492	672	BRCA1	3665	IRF7	positive	17374731
493	493	672	BRCA1	10379	IRF9	positive	12212615
496	496	672	BRCA1	8570	KHSRP	negative	21099359
500	500	672	BRCA1	4085	MAD2L1	positive	15563594
502	502	672	BRCA1	4193	MDM2	positive	11256609
504	504	672	BRCA1	6041	RNASEL	positive	15940267
505	505	672	BRCA1	6273	S100A2	positive	24556685
506	506	672	BRCA1	23411	SIRT1	positive	18851829;20160719;21407215;9000507
507	507	672	BRCA1	6772	STAT1	positive	17374731
508	508	672	BRCA1	6773	STAT2	positive	17374731
510	510	672	BRCA1	7031	TFF1	negative	11244506
512	512	672	BRCA1	7422	VEGFA	positive	16543242
518	518	29117	BRD7	6046	BRD2	positive	12600283
519	519	29117	BRD7	8019	BRD3	positive	12600283
520	520	29117	BRD7	1871	E2F3	negative	16475162
526	526	9044	BTAF1	1810	DR1	negative	20627952
527	527	9044	BTAF1	6908	TBP	negative	20627952
529	529	689	BTF3	27	ABL2	positive	17312387
530	530	689	BTF3	472	ATM	positive	17312387
531	531	689	BTF3	2048	EPHB2	positive	17312387
532	532	689	BTF3	60495	HPSE2	positive	17312387
533	533	689	BTF3	8174	MADCAM1	negative	17312387
534	534	689	BTF3	10335	MRVI1	negative	17312387
535	535	689	BTF3	4790	NFKB1	negative	17312387
536	536	689	BTF3	22800	RRAS2	negative	17312387
537	537	689	BTF3	8082	SSPN	negative	17312387
538	538	7832	BTG2	595	CCND1	negative	15870875;16849553
539	539	7832	BTG2	3265	HRAS	negative	20197462
540	540	7832	BTG2	354	KLK3	negative	21172304
541	541	7832	BTG2	8877	SPHK1	positive	16516161
543	543	863	CBFA2T3	22834	ZNF652	negative	20116376
548	548	23492	CBX7	898	CCNE1	negative	22214847
549	549	23492	CBX7	999	CDH1	positive	19706751
550	550	57332	CBX8	1026	CDKN1A	negative	23474493
552	552	55536	CDCA7L	4129	MAOB	negative	20980443
556	556	1044	CDX1	5111	PCNA	positive	11743638
558	558	1044	CDX1	5468	PPARG	positive	19059241
559	559	1044	CDX1	5743	PTGS2	positive	21613300
562	562	1045	CDX2	39	ACAT2	positive	16274362
563	563	1045	CDX2	324	APC	positive	23393221
565	565	1045	CDX2	8313	AXIN2	positive	23393221
567	567	1045	CDX2	1015	CDH17	positive	20568120
569	569	1045	CDX2	1026	CDKN1A	positive	12970742
570	570	1045	CDX2	1080	CFTR	positive	22671145
572	572	1045	CDX2	79767	ELMO3	positive	20127720
573	573	1045	CDX2	2524	FUT2	positive	22547830
578	578	1045	CDX2	9843	HEPH	positive	15825077
579	579	1045	CDX2	3486	IGFBP3	negative	17297462
580	580	1045	CDX2	9314	KLF4	positive	11521200
582	582	1045	CDX2	3938	LCT	positive	9148757
583	583	1045	CDX2	4224	MEP1A	positive	22326557
585	585	1045	CDX2	4583	MUC2	positive	12559945
586	586	1045	CDX2	5743	PTGS2	negative	15013430
588	588	1045	CDX2	6564	SLC15A1	positive	16616718
591	591	1045	CDX2	7033	TFF3	positive	17182120
592	592	1045	CDX2	54575	UGT1A10	positive	15044625
593	593	1045	CDX2	54576	UGT1A8	positive	15044625
599	599	1050	CEBPA	596	BCL2	negative	12970736
600	600	1050	CEBPA	6347	CCL2	positive	24429361
605	605	1050	CEBPA	1441	CSF3R	positive	10453008
610	610	1050	CEBPA	1991	ELANE	positive	19620402
612	612	1050	CEBPA	2158	F9	positive	8075306
615	615	1050	CEBPA	57817	HAMP	positive	18671304
618	618	1050	CEBPA	51170	HSD17B11	positive	21549806
619	619	1050	CEBPA	3308	HSPA4	positive	2247079
622	622	1050	CEBPA	3479	IGF1	positive	7708053
628	628	1050	CEBPA	3643	INSR	positive	8288055
629	629	1050	CEBPA	3687	ITGAX	positive	9360988
630	630	1050	CEBPA	3952	LEP	positive	21983012
633	633	1050	CEBPA	4609	MYC	negative	12032779
637	637	1050	CEBPA	6280	S100A9	positive	9706399
639	639	1050	CEBPA	462	SERPINC1	positive	8910619
640	640	1050	CEBPA	6441	SFTPD	positive	11912209
642	642	1050	CEBPA	9021	SOCS3	positive	19332118
644	644	1050	CEBPA	6696	SPP1	positive	14712233
645	645	1050	CEBPA	6770	STAR	positive	18583320
649	649	1051	CEBPB	5243	ABCB1	positive	15044620
650	650	1051	CEBPB	133	ADM	positive	9480831
656	656	1051	CEBPB	1026	CDKN1A	positive	15041706
658	658	1051	CEBPB	1401	CRP	positive	12667216;23361365
659	659	1051	CEBPB	1441	CSF3R	positive	10453008
662	662	1051	CEBPB	1465	CSRP1	positive	14522018
663	663	1051	CEBPB	3576	CXCL8	positive	15085176;15688424
665	665	1051	CEBPB	1588	CYP19A1	negative	11994385
671	671	1051	CEBPB	5045	FURIN	positive	8132667
673	673	1051	CEBPB	9518	GDF15	positive	24086573
674	674	1051	CEBPB	2671	GFER	negative	20690902
682	682	1051	CEBPB	3553	IL1B	positive	17386941
686	686	1051	CEBPB	3565	IL4	positive	7594540
689	689	1051	CEBPB	3569	IL6	positive	10903137;8725624
691	691	1051	CEBPB	3643	INSR	positive	8288055
692	692	1051	CEBPB	3662	IRF4	positive	19717648
695	695	1051	CEBPB	5021	OXTR	positive	21734268
696	696	1051	CEBPB	5106	PCK2	positive	8093246
698	698	1051	CEBPB	639	PRDM1	positive	19717648
700	700	1051	CEBPB	29122	PRSS50	positive	18462069
701	701	1051	CEBPB	5743	PTGS2	positive	16820889;18294142
702	702	1051	CEBPB	5743	PTGS2	negative	18820298
705	705	1051	CEBPB	6280	S100A9	positive	9706399
707	707	1051	CEBPB	6289	SAA2	positive	8244997
708	708	1051	CEBPB	6441	SFTPD	positive	11912209
710	710	1051	CEBPB	6573	SLC19A1	positive	15652157
711	711	1051	CEBPB	160728	SLC5A8	positive	20082847
712	712	1051	CEBPB	6770	STAR	positive	18583320
716	716	1051	CEBPB	7130	TNFAIP6	positive	7876106
719	719	1051	CEBPB	7494	XBP1	positive	19717648
722	722	1052	CEBPD	6364	CCL20	positive	23028973
723	723	1052	CEBPD	2919	CXCL1	positive	23028973
724	724	1052	CEBPD	1588	CYP19A1	negative	11994385
725	725	1052	CEBPD	1649	DDIT3	positive	20971808
726	726	1052	CEBPD	1649	DDIT3	negative	22347430
729	729	1052	CEBPD	51561	IL23A	positive	23028973
731	731	1052	CEBPD	5460	POU5F1	positive	15284209
732	732	1052	CEBPD	5468	PPARG	positive	10649448;18619497;20971808
735	735	1052	CEBPD	6647	SOD1	positive	20385105
737	737	1052	CEBPD	7130	TNFAIP6	positive	23028973
739	739	1053	CEBPE	2623	GATA1	negative	12202480
742	742	1053	CEBPE	4609	MYC	negative	12947005
743	743	1053	CEBPE	5553	PRG2	negative	12202480
744	744	1053	CEBPE	6688	SPI1	negative	12202480
746	746	1054	CEBPG	6441	SFTPD	positive	11912209
747	747	10153	CEBPZ	324	APC	positive	15087381
748	748	10153	CEBPZ	1301	COL11A1	negative	12805369
751	751	10153	CEBPZ	4292	MLH1	negative	11704838
753	753	1108	CHD4	973	CD79A	negative	23071088
756	756	57680	CHD8	9134	CCNE2	positive	19255092
760	760	4261	CIITA	1277	COL1A1	negative	16439692
761	761	4261	CIITA	1278	COL1A2	negative	16439692
765	765	4261	CIITA	3105	HLA-A	positive	10329350
766	766	4261	CIITA	3106	HLA-B	positive	11053628
767	767	4261	CIITA	3107	HLA-C	positive	11053628
768	768	4261	CIITA	3108	HLA-DMA	positive	9300700
770	770	4261	CIITA	3109	HLA-DMB	positive	9300700;9600954
772	772	4261	CIITA	3111	HLA-DOA	positive	11823510
773	773	4261	CIITA	3112	HLA-DOB	positive	11823510
776	776	4261	CIITA	3122	HLA-DRA	positive	9600954
784	784	4261	CIITA	3565	IL4	positive	10946277
785	785	4261	CIITA	3565	IL4	negative	10946277;17645498
788	788	4261	CIITA	4318	MMP9	negative	15247301
790	790	4261	CIITA	5705	PSMC5	positive	22771340
792	792	4261	CIITA	6275	S100A4	negative	17143014
793	793	4261	CIITA	23411	SIRT1	negative	22064865
796	796	10370	CITED2	4312	MMP1	negative	12960175
797	797	10370	CITED2	4322	MMP13	negative	12960175
798	798	9575	CLOCK	8553	BHLHE40	positive	19032342
799	799	9575	CLOCK	79365	BHLHE41	positive	14672706
800	800	9575	CLOCK	1407	CRY1	positive	22750052
802	802	9575	CLOCK	1408	CRY2	positive	22750052
804	804	9575	CLOCK	50514	DEC1	positive	14672706
806	806	9575	CLOCK	10135	NAMPT	positive	19299583
807	807	9575	CLOCK	8431	NR0B2	positive	20674862
808	808	9575	CLOCK	2908	NR3C1	negative	21164265
809	809	9575	CLOCK	5187	PER1	positive	17994337;22750052
811	811	9575	CLOCK	8864	PER2	positive	22750052
813	813	9575	CLOCK	8863	PER3	positive	22750052
814	814	9575	CLOCK	6770	STAR	positive	17431006
821	821	10987	COPS5	1027	CDKN1B	negative	16951171
822	822	10987	COPS5	7422	VEGFA	positive	12542982
823	823	1382	CRABP2	5914	RARA	positive	16166294
824	824	1385	CREB1	31	ACACA	positive	19842072
828	828	1385	CREB1	596	BCL2	positive	17290286
833	833	1385	CREB1	627	BDNF	positive	11719924
834	834	1385	CREB1	841	CASP8	positive	18342014
845	845	1385	CREB1	1588	CYP19A1	positive	15955695;16740737
847	847	1385	CREB1	2117	ETV3	positive	14754893
852	852	1385	CREB1	2925	GRPR	positive	18483184
857	857	1385	CREB1	3162	HMOX1	negative	14523007
859	859	1385	CREB1	3458	IFNG	positive	20006311;20685939
860	860	1385	CREB1	3458	IFNG	negative	11907114
862	862	1385	CREB1	3586	IL10	positive	10540320;22140263
866	866	1385	CREB1	3569	IL6	positive	8725624
867	867	1385	CREB1	3725	JUN	negative	8647095
870	870	1385	CREB1	4066	LYL1	positive	23000483
871	871	1385	CREB1	4158	MC2R	positive	17712720
872	872	1385	CREB1	4286	MITF	positive	19937254
875	875	1385	CREB1	4585	MUC4	positive	19757157
877	877	1385	CREB1	4586	MUC5AC	positive	18676374
878	878	1385	CREB1	10403	NDC80	positive	17822787
881	881	1385	CREB1	9221	NOLC1	positive	21266110
883	883	1385	CREB1	7025	NR2F1	negative	15955695
884	884	1385	CREB1	2063	NR2F6	negative	15955695
886	886	1385	CREB1	2494	NR5A2	positive	18191017
890	890	1385	CREB1	5122	PCSK1	positive	8999965
891	891	1385	CREB1	5327	PLAT	negative	8647095
895	895	1385	CREB1	5515	PPP2CA	positive	17526027
896	896	1385	CREB1	5521	PPP2R2B	positive	20533062
898	898	1385	CREB1	5663	PSEN1	positive	11116137
900	900	1385	CREB1	5743	PTGS2	positive	22919060
904	904	1385	CREB1	6574	SLC20A1	positive	11722845
907	907	1385	CREB1	4091	SMAD6	positive	14755548
908	908	1385	CREB1	6615	SNAI1	negative	15955695
909	909	1385	CREB1	6591	SNAI2	negative	15955695
916	916	1385	CREB1	8409	UXT	positive	17761951
919	919	10488	CREB3	7852	CXCR4	positive	20473547
920	920	90993	CREB3L1	6509	SLC1A4	negative	17617614
922	922	9586	CREB5	8992	ATP6V0E1	positive	21132541
923	923	9586	CREB5	629	CFB	positive	21132541
924	924	9586	CREB5	1608	DGKG	positive	21132541
925	925	9586	CREB5	1608	DGKG	negative	21132541
926	926	9586	CREB5	3959	LGALS3BP	negative	21132541
927	927	9586	CREB5	23643	LY96	negative	21132541
928	928	9586	CREB5	7867	MAPKAPK3	positive	21132541
929	929	9586	CREB5	4599	MX1	positive	21132541
930	930	9586	CREB5	25780	RASGRP3	negative	21132541
931	931	9586	CREB5	5962	RDX	negative	21132541
932	932	9586	CREB5	6772	STAT1	negative	21132541
933	933	9586	CREB5	7049	TGFBR3	positive	21132541
934	934	9586	CREB5	4982	TNFRSF11B	negative	21132541
935	935	1387	CREBBP	246	ALOX15	positive	12517954
938	938	1387	CREBBP	1026	CDKN1A	positive	15286705
939	939	1387	CREBBP	1385	CREB1	positive	19564345
944	944	1387	CREBBP	25988	HINFP	positive	17826007
945	945	1387	CREBBP	3206	HOXA10	positive	16849538
946	946	1387	CREBBP	3205	HOXA9	positive	16849538
947	947	1387	CREBBP	3565	IL4	positive	10946277
948	948	1387	CREBBP	3642	INSM1	positive	17300785
949	949	1387	CREBBP	3659	IRF1	positive	18497060
952	952	1387	CREBBP	5705	PSMC5	positive	22771340
960	960	8804	CREG1	3308	HSPA4	negative	9710587
961	961	1390	CREM	1636	ACE	positive	8901568
964	964	1390	CREM	6351	CCL4	negative	16443828
966	966	1390	CREM	890	CCNA2	negative	9280058
967	967	1390	CREM	919	CD247	negative	16237091
968	968	1390	CREM	1385	CREB1	negative	11988318
969	969	1390	CREM	1843	DUSP1	negative	21325296
970	970	1390	CREM	1846	DUSP4	negative	21325296
971	971	1390	CREM	356	FASLG	negative	11754361
972	972	1390	CREM	2353	FOS	negative	21757709
973	973	1390	CREM	2539	G6PD	negative	17273168
975	975	1390	CREM	3558	IL2	negative	15841182
979	979	1390	CREM	4158	MC2R	positive	17712720
980	980	1390	CREM	4158	MC2R	negative	17712720
982	982	1390	CREM	6528	SLC5A5	positive	18202121
