primary	synonyms	description
AANAT	DSPS|SNAT|SNAT|SNAT	aralkylamine N-acetyltransferase
AAR2	C20orf4|CGI-23|bA234K24.2|C20orf4|C20orf4	AAR2 splicing factor homolog
AARD	C8orf85|LOC441376|C8orf85|C8orf85	alanine and arginine rich domain containing protein
AARS	CMT2N|EIEE29|CMT2N|AlaRS	alanyl-tRNA synthetase
AARS2	AARSL|COXPD8|LKENP|MT-ALARS|MTALARS|KIAA1270|bA444E17.1|AARSL|AARSL|KIAA1270	alanyl-tRNA synthetase 2| mitochondrial
AARSD1	MGC2744	
AARSP1		
AASDH	ACSF4|LYS2|NRPS1098|NRPS998|NRPS998|LYS2|ACSF4|ACSF4|U26	aminoadipate-semialdehyde dehydrogenase
AASDHPPT	AASD-PPT|ACPS|CGI-80|LYS2|LYS5|LYS5|CGI-80|AASD-PPT|ACPS	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS	LKR/SDH|LKRSDH|LORSDH|LORSDH|LKRSDH	aminoadipate-semialdehyde synthase
AASTH1		
AASTH10		
AASTH11		
AASTH12		
AASTH13		
AASTH14		
AASTH15		
AASTH16		
AASTH17		
AASTH18		
AASTH19		
AASTH2		
AASTH20		
AASTH21		
AASTH22		
AASTH23		
AASTH24		
AASTH25		
AASTH26		
AASTH27		
AASTH28		
AASTH29		
AASTH3		
AASTH30		
AASTH31		
AASTH32		
AASTH33		
AASTH34		
AASTH35		
AASTH36		
AASTH37		
AASTH38		
AASTH39		
AASTH4		
AASTH40		
AASTH41		
AASTH42		
AASTH43		
AASTH44		
AASTH45		
AASTH46		
AASTH47		
AASTH48		
AASTH49		
AASTH5		
AASTH50		
AASTH51		
AASTH52		
AASTH53		
AASTH54		
AASTH55		
AASTH56		
AASTH6		
AASTH7		
AASTH8		
AASTH9		
AAT		
AAT1	FAA1	Aortic aneurysm| familial thoracic 1
AAT2	FAA2	Aortic aneurysm| familial thoracic 2
AATBC		
AATF	BFR2|CHE-1|CHE1|DED|DED|CHE-1|CHE1|BFR2|CHE1|DED	apoptosis antagonizing transcription factor
AATK	AATYK|AATYK1|LMR1|LMTK1|PPP1R77|p35BP|AATYK|KIAA0641|LMTK1|LMR1|AATYK1|PPP1R77|AATYK|KIAA0641|LMR1|LMTK1	apoptosis associated tyrosine kinase
AAVS1	AAV	adeno-associated virus integration site 1
ABAD		
ABALON	INXS	apoptotic BCL2L1-antisense long non-coding RNA
ABAT	GABA-AT|GABAT|NPD009|GABAT|GABAT	4-aminobutyrate aminotransferase
ABC-1		
ABC-transporter		
ABC1		
ABC2		
ABCA1	ABC-1|ABC1|CERP|HDLDT1|TGD|TGD|ABC1|HDLDT1|ABC1|CERP	ATP binding cassette subfamily A member 1
ABCA10	EST698739|EST698739	ATP binding cassette subfamily A member 10
ABCA11P	ABCA11|EST1133530|ABCA11	ATP binding cassette subfamily A member 11| pseudogene
ABCA12	ARCI4A|ARCI4B|ICR2B|LI2|DKFZP434G232|LI2|ICR2B|ABC12	ATP binding cassette subfamily A member 12
ABCA13	FLJ33876|FLJ33951	
ABCA17P	ABCA17	ATP binding cassette subfamily A member 17| pseudogene
ABCA2	ABC2|ABC2|ABC2|KIAA1062	ATP binding cassette subfamily A member 2
ABCA3	ABC-C|ABC3|EST111653|LBM180|SMDP3|ABC-C|EST111653|LBM180|ABC3|ABC3	ATP binding cassette subfamily A member 3
ABCA3 variant protein		
ABCA4	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1|FFM|ARMD2|CORD3|STGD1|ABCR|RP19|STGD|ABCR	ATP binding cassette subfamily A member 4
ABCA5	ABC13|EST90625|EST90625|KIAA1888	ATP binding cassette subfamily A member 5
ABCA6	EST155051|EST155051	ATP binding cassette subfamily A member 6
ABCA7	ABCA-SSN|ABCX|AD9|ABCX	ATP binding cassette subfamily A member 7
ABCA8	KIAA0822|KIAA0822	
ABCA9	EST640918|EST640918	ATP binding cassette subfamily A member 9
ABCA9-AS1		
ABCB1	ABC20|CD243|CLCS|GP170|MDR1|P-GP|PGY1|P-gp|CD243|GP170|ABC20|PGY1|MDR1|CLCS|MDR1|PGY1	ATP binding cassette subfamily B member 1
ABCB10	EST20237|M-ABC2|MTABC2|EST20237|M-ABC2|MTABC2	ATP binding cassette subfamily B member 10
ABCB10P1	ABCB10P|ABCB10P2|M-ABC2|MABC2	ABCB10 pseudogene 1
ABCB10P3		
ABCB10P4		
ABCB11	ABC16|BRIC2|BSEP|PFIC-2|PFIC2|PGY4|SPGP|ABC16|SPGP|PFIC-2|PGY4|BSEP|PFIC2|BSEP	ATP binding cassette subfamily B member 11
ABCB3		
ABCB4	ABC21|GBD1|ICP3|MDR2|MDR2/3|MDR3|PFIC-3|PGY3|MDR2|PFIC-3|GBD1|PGY3|MDR3|MDR3|PGY3	ATP binding cassette subfamily B member 4
ABCB5	ABCB5alpha|ABCB5beta|EST422562|EST422562|ABCB5beta|ABCB5alpha	ATP binding cassette subfamily B member 5
ABCB6	ABC|LAN|MTABC3|PRP|umat|EST45597|umat|MTABC3|MTABC3|PRP|UMAT	ATP binding cassette subfamily B member 6 (Langereis blood group)
ABCB7	ABC7|ASAT|Atm1p|EST140535|EST140535|Atm1p|ASAT|ABC7|ABC7	ATP binding cassette subfamily B member 7
ABCB8	EST328128|M-ABC1|MABC1|EST328128|M-ABC1|MABC1|MABC1	ATP binding cassette subfamily B member 8
ABCB9	EST122234|TAPL|EST122234|KIAA1520	ATP binding cassette subfamily B member 9
ABCC1	ABC29|ABCC|GS-X|MRP|MRP1|GS-X|MRP|MRP1|MRP|MRP1	ATP binding cassette subfamily C member 1
ABCC10	EST182763|MRP7|SIMRP7|EST182763|MRP7|SIMRP7|MRP7|SIMRP7	ATP binding cassette subfamily C member 10
ABCC11	EWWD|MRP8|WW|MRP8|MRP8	ATP binding cassette subfamily C member 11
ABCC12	MRP9|MRP9|MRP9	ATP binding cassette subfamily C member 12
ABCC13	ABCC13P|C21orf73|PRED6|C21orf73|PRED6	ATP binding cassette subfamily C member 13 (pseudogene)
ABCC2	ABC30|CMOAT|DJS|MRP2|cMRP|DJS|MRP2|cMRP|CMOAT|CMOAT|CMOAT1|CMRP|MRP2	ATP binding cassette subfamily C member 2
ABCC3	ABC31|EST90757|MLP2|MOAT-D|MRP3|cMOAT2|MRP3|cMOAT2|EST90757|MLP2|MOAT-D|CMOAT2|MLP2|MRP3	ATP binding cassette subfamily C member 3
ABCC4	MOAT-B|MOATB|MRP4|MRP4|EST170205|MOAT-B|MOATB|MRP4	ATP binding cassette subfamily C member 4
ABCC5	ABC33|EST277145|MOAT-C|MOATC|MRP5|SMRP|pABC11|MRP5|SMRP|EST277145|MOAT-C|MRP5	ATP binding cassette subfamily C member 5
ABCC5-AS1		
ABCC6	ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7|MRP6|EST349056|MLP1|URG7|ARA|PXE|ARA|MRP6	ATP binding cassette subfamily C member 6
ABCC6P1		
ABCC6P2		
ABCC8	ABC36|HHF1|HI|HRINS|MRP8|PHHI|SUR|SUR1|SUR1delta2|TNDM2|HI|PHHI|SUR1|MRP8|ABC36|HHF1|TNDM2|SUR|HRINS|HRINS|SUR|SUR1	ATP binding cassette subfamily C member 8
ABCC9	ABC37|ATFB12|CANTU|CMD1O|SUR2|SUR2|CMD1O|SUR2	ATP binding cassette subfamily C member 9
ABCD1	ABC42|ALD|ALDP|AMN|AMN|ALDP|adrenoleukodystrophy|ALD|ALD	ATP binding cassette subfamily D member 1
ABCD1P1		
ABCD1P2	bA453N3.6	ATP binding cassette subfamily D member 1 pseudogene 2
ABCD1P3		
ABCD1P4	ALD22Q11	ATP binding cassette subfamily D member 1 pseudogene 4
ABCD1P5		
ABCD2	ABC39|ALDL1|ALDR|ALDRP|hALDR|ALDR|ALDRP|ALDL1|ALD1|ALDL1|ALDR|ALDRP	ATP binding cassette subfamily D member 2
ABCD3	ABC43|CBAS5|PMP70|PXMP1|ZWS2|PMP70|ZWS2|PXMP1|PMP70|PXMP1	ATP binding cassette subfamily D member 3
ABCD4	ABC41|EST352188|MAHCJ|P70R|P79R|PMP69|PXMP1L|PMP69|P70R|EST352188|PXMP1L|PXMP1L	ATP binding cassette subfamily D member 4
ABCE1	ABC38|OABP|RLI|RLI1|RNASEL1|RNASELI|RNS4I|RLI|OABP|RLI1|RNASEL1|RNASELI|RNS4I|RLI|RNASEL1|RNASELI|RNS4I	ATP binding cassette subfamily E member 1
ABCF1	ABC27|ABC50|EST123147|ABC50|ABC50	ATP binding cassette subfamily F member 1
ABCF1-DT		
ABCF2	ABC28|EST133090|HUSSY-18|HUSSY18|EST133090|ABC28|M-ABC1|HUSSY-18	ATP binding cassette subfamily F member 2
ABCF2P1		
ABCF2P2		
ABCF3	EST201864|EST201864	ATP binding cassette subfamily F member 3
ABCG1	ABC8|WHITE1|ABC8|ABC8|WHT1	ATP binding cassette subfamily G member 1
ABCG2	ABC15|ABCP|BCRP|BCRP1|BMDP|CD338|CDw338|EST157481|GOUT1|MRX|MXR|MXR-1|MXR1|UAQTL1|EST157481|MXR|BCRP|ABCP|CD338|ABCP|BCRP|BCRP1|MXR	ATP binding cassette subfamily G member 2 (Junior blood group)
ABCG4	WHITE2|WHITE2|WHITE2	ATP binding cassette subfamily G member 4
ABCG5	STSL|STSL	ATP binding cassette subfamily G member 5
ABCG8	GBD4|STSL|GBD4	ATP binding cassette subfamily G member 8
ABCR		
ABHD1	LABH1|LABH1|FLJ36128|LABH1	abhydrolase domain containing 1
ABHD10	FLJ11342	
ABHD11	PP1226|WBSCR21|PP1226|WBSCR21|WBSCR21	abhydrolase domain containing 11
ABHD11-AS1	LINC00035|NCRNA00035|WBSCR26	ABHD11 antisense RNA 1 (tail to tail)
ABHD12	ABHD12A|BEM46L2|C20orf22|PHARC|dJ965G21.2|DKFZP434P106|dJ965G21.2|BEM46L2|ABHD12A|C20orf22|C20orf22	abhydrolase domain containing 12
ABHD12B	BEM46L3|C14orf29|c14_5314|BEM46L3|C14orf29|C14orf29	abhydrolase domain containing 12B
ABHD13	BEM46L1|C13orf6|bA153I24.2|bA153I24.2|FLJ14906|BEM46L1|C13orf6|C13orf6	abhydrolase domain containing 13
ABHD14A	DORZ1|DKFZP564O243|DORZ1	abhydrolase domain containing 14A
ABHD14A-ACY1		
ABHD14B	CIB|HEL-S-299|MGC15429|CIB|CIB	abhydrolase domain containing 14B
ABHD15		
ABHD15-AS1	linc-TP53I13|lnc-TP53I13	ABHD15 antisense RNA 1
ABHD16A	BAT5|D6S82E|NG26|PP199|NG26|D6S82E|BAT5|BAT5|G5|NG26	abhydrolase domain containing 16A
ABHD16B	C20orf135|dJ591C20.1|dJ591C20.1|C20orf135|C20orf135	abhydrolase domain containing 16B
ABHD17A	C19orf27|FAM108A1|MGC5244|C19orf27|FAM108A1|C19orf27|FAM108A1	abhydrolase domain containing 17A
ABHD17AP1	ABHD17AP2|C1orf47|FAM108A11P|FAM108A2|FAM108A3|FAM108A3P	abhydrolase domain containing 17A pseudogene 1
ABHD17AP3	FAM108A4|FAM108A4P	abhydrolase domain containing 17A pseudogene 3
ABHD17AP4	FAM108A5|FAM108A5P	abhydrolase domain containing 17A pseudogene P4
ABHD17AP5	FAM108A6|FAM108A6P	abhydrolase domain containing 17A pseudogene 5
ABHD17AP6	FAM108A7P	abhydrolase domain containing 17A pseudogene 6
ABHD17AP7	FAM108A8P	abhydrolase domain containing 17A pseudogene 7
ABHD17AP8	FAM108A9P	abhydrolase domain containing 17A pseudogene 8
ABHD17AP9	FAM108A10P	abhydrolase domain containing 17A pseudogene 9
ABHD17B	C9orf77|CGI-67|FAM108B1|CGI-67|C9orf77|FAM108B1|C9orf77|FAM108B1	abhydrolase domain containing 17B
ABHD17C	FAM108C1|FAM108C1|FAM108C1	abhydrolase domain containing 17C
ABHD18	C4orf29|FLJ21106|C4orf29|C4orf29	abhydrolase domain containing 18
ABHD2	HS1-2|LABH2|PHPS1-2|LABH2|LABH2	abhydrolase domain containing 2
ABHD3	LABH3|LABH3	abhydrolase domain containing 3
ABHD4	ABH4|FLJ12816	abhydrolase domain containing 4
ABHD5	CGI58|IECN2|NCIE2|CGI-58|NCIE2|NCIE2	abhydrolase domain containing 5
ABHD6		
ABHD8	FLJ11743|MGC14280|MGC2512	
ABHD9		
ABI-2		
ABI1	ABI-1|ABLBP4|E3B1|NAP1BP|SSH3BP|SSH3BP1|E3B1|ABI-1|SSH3BP1|SSH3BP1	abl interactor 1
ABI1P1	ABI1P|SSH3BP1P	abl interactor 1 pseudogene 1
ABI2	ABI-2|ABI2B|AIP-1|AblBP3|SSH3BP2|argBP1|argBPIA|argBPIB|ABI-2|AIP-1|ABI2B|AblBP3|argBPIA|SSH3BP2|ARGBPIA	abl interactor 2
ABI3	NESH|SSH3BP3|NESH|SSH3BP3|NESH	ABI family member 3
ABI3BP	NESHBP|TARSH|NESHBP|DKFZP586L2024|TARSH|NESHBP|TARSH	ABI family member 3 binding protein
ABL1	ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl|JTK7|c-ABL|p150|ABL|ABL|JTK7	ABL proto-oncogene 1| non-receptor tyrosine kinase
ABL2	ABLL|ARG|ARG|ABLL|ABLL|ARG	ABL proto-oncogene 2| non-receptor tyrosine kinase
ABLIM1	ABLIM|LIMAB1|LIMATIN|abLIM-1|abLIM|limatin|LIMAB1|ABLIM|ABLIM|KIAA0059|LIMAB1	actin binding LIM protein 1
ABLIM2	KIAA1808|KIAA1808	
ABLIM3	HMFN1661|KIAA0843|KIAA0843	actin binding LIM protein family member 3
ABO	A3GALNT|A3GALT1|GTB|NAGAT|A3GALNT|A3GALT1	ABO| alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
ABO-B		
ABP1		
ABR	MDB|MDB	ABR| RhoGEF and GTPase activating protein
ABRA	STARS|STARS	actin binding Rho activating protein
ABRACL	C6orf115|Costars|HSPC280|PRO2013|PRO2013|HSPC280|Costars|C6orf115|C6orf115	ABRA C-terminal like
ABRAXAS1	ABRA1|CCDC98|FAM175A|FLJ13614|ABRA1|ABRAXAS|CCDC98|FAM175A|ABRA1|CCDC98|FAM175A	abraxas 1| BRCA1 A complex subunit
ABRAXAS2	ABRO1|FAM175B|KIAA0157|Em:AC068896.4|ABRO1|KIAA0157|FAM175B|ABRO1|FAM175B|KIAA0157	abraxas 2| BRISC complex subunit
ABT1	Esf2|hABT1|Esf2	activator of basal transcription 1
ABT1P1		
ABTB1	BPOZ|BTB3|BTBD21|EF1ABP|PP2259|BPOZ|EF1ABP|Btb3|BTBD21|BPOZ	ankyrin repeat and BTB domain containing 1
ABTB2	ABTB2A|BTBD22|DKFZP586C1619|BTBD22|ABTB2A	ankyrin repeat and BTB domain containing 2
ACAA1	ACAA|PTHIO|THIO|ACAA|PTHIO	acetyl-CoA acyltransferase 1
ACAA2	DSAEC|DSAEC	acetyl-CoA acyltransferase 2
ACACA	ACAC|ACACAD|ACC|ACC1|ACCA|ACC1|ACAC|ACC|ACAC|ACC1|ACCA	acetyl-CoA carboxylase alpha
ACACB	ACC2|ACCB|HACC275|HACC275|ACC2|ACCB|ACC2|ACCB	acetyl-CoA carboxylase beta
ACAD10	MGC5601	
ACAD11	ACAD-11|FLJ12592	acyl-CoA dehydrogenase family member 11
ACAD8	ACAD-8|ARC42|ARC42|IBD	acyl-CoA dehydrogenase family member 8
ACAD9	NPD002|NPD002|MGC14452	acyl-CoA dehydrogenase family member 9
ACADL	ACAD4|LCAD|LCAD|ACAD4	acyl-CoA dehydrogenase long chain
ACADM	ACAD1|MCAD|MCADH|MCAD|MCADH|ACAD1	acyl-CoA dehydrogenase medium chain
ACADS	ACAD3|SCAD|SCAD|ACAD3	acyl-CoA dehydrogenase short chain
ACADSB	2-MEBCAD|ACAD7|SBCAD|SBCAD|ACAD7	acyl-CoA dehydrogenase short/branched chain
ACADVL	ACAD6|LCACD|VLCAD|VLCAD|LCACD|ACAD6|VLCAD	acyl-CoA dehydrogenase very long chain
ACAN	AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD|CSPGCP|MSK16|CSPG1|AGC1|AGC1|CSPG1|MSK16	aggrecan
ACAP1	CENTB1|KIAA0050|CENTB1|CENTB1|KIAA0050	ArfGAP with coiled-coil| ankyrin repeat and PH domains 1
ACAP2	CENTB2|CNT-B2|KIAA0041|CNT-B2|CENTB2|CENTB2|KIAA0041	ArfGAP with coiled-coil| ankyrin repeat and PH domains 2
ACAP2-IT1		
ACAP3	CENTB5|KIAA1716|CENTB5|CENTB5|KIAA1716	ArfGAP with coiled-coil| ankyrin repeat and PH domains 3
ACAT1	ACAT|MAT|T2|THIL|THIL|ACAT|ACAT|MAT	acetyl-CoA acetyltransferase 1
ACAT2	ACTL	
ACBD3	GCP60|GOCAP1|GOLPH1|PAP7|GCP60|PAP7|GOLPH1|GOCAP1|GCP60|GOCAP1|GOLPH1	acyl-CoA binding domain containing 3
ACBD3-AS1		
ACBD4	HMFT0700|FLJ13322	acyl-CoA binding domain containing 4
ACBD5	DKFZp434A2417|KIAA1996|KIAA1996	
ACBD6	MGC2404	
ACBD7	bA455B2.2|FLJ38219|bA455B2.2	acyl-CoA binding domain containing 7
ACBD7-DCLRE1CP1		
ACC1		
ACCN1		
ACCN3		
ACCS	ACS|PHACS|PHACS|ACS|PHACS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ACCSL		
ACD	PIP1|PTOP|TINT1|TPP1|Ptop|Pip1|Tpp1|Tint1|PIP1|PTOP|TINT1|TPP1	ACD| shelterin complex subunit and telomerase recruitment factor
ACE	ACE1|CD143|DCP|DCP1|ACE1|CD143|DCP1|DCP|DCP1	angiotensin I converting enzyme
ACE2	ACEH	angiotensin I converting enzyme 2
ACE3P	ACE3	angiotensin I converting enzyme 3| pseudogene
ACER1	ALKCDase1|ASAH3|ASAH3|ASAH3	alkaline ceramidase 1
ACER2	ALKCDase2|ASAH3L|FLJ41587|ALKCDase2|ASAH3L|ASAH3L	alkaline ceramidase 2
ACER3	APHC|PHCA|PLDECO|FLJ11238|APHC|PHCA|APHC|PHCA	alkaline ceramidase 3
ACF		
ACF7		
ACHE	ACEE|ARACHE|N-ACHE|YT|YT	acetylcholinesterase (Cartwright blood group)
ACIN1	ACINUS|ACN|fSAP152|KIAA0670|fSAP152|ACINUS|ACINUS|KIAA0670	apoptotic chromatin condensation inducer 1
ACKR1	CCBP1|CD234|DARC|DARC/ACKR1|Dfy|FY|GPD|GpFy|WBCQ1|CCBP1|GPD|Dfy|CD234|FY|DARC|DARC|FY|GPD	atypical chemokine receptor 1 (Duffy blood group)
ACKR2	CCBP2|CCR10|CCR9|CMKBR9|D6|hD6|CCR10|D6|CCR9|CMKBR9|CCBP2|CCBP2|CCR10|CMKBR9|D6	atypical chemokine receptor 2
ACKR3	CMKOR1|CXC-R7|CXCR-7|CXCR7|GPR159|RDC-1|RDC1|RDC1|GPR159|CMKOR1|CXCR7|CMKOR1|CXCR7|GPR159|RDC1	atypical chemokine receptor 3
ACKR4	CC-CKR-11|CCBP2|CCR-11|CCR10|CCR11|CCRL1|CCX CKR|CCX-CKR|CKR-11|PPR1|VSHK1|CCR11|CCBP2|VSHK1|CCX-CKR|PPR1|CCRL1|CCBP2|CCR11|CCRL1|VSHK1	atypical chemokine receptor 4
ACLS		
ACLY	ACL|ATPCL|CLATP|ATPCL|CLATP|ACL	ATP citrate lyase
ACLY variant protein		
ACMSD		
ACO1	ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1|IRP1|IREBP|IREB1|IREB1	aconitase 1
ACO2	ACONM|HEL-S-284|ICRD|OCA8|OPA9|ACONM	aconitase 2
ACOD1	CAD|IRG1|CAD|IRG1|IRG1	aconitate decarboxylase 1
ACON		
ACOT1	ACH2|CTE-1|LACH2|ACH2|CTE-1|LACH2|CTE1	acyl-CoA thioesterase 1
ACOT11	BFIT|STARD14|THEA|THEM1|STARD14|BFIT|KIAA0707|BFIT1|THEM1|THEA|BFIT|KIAA0707|THEA	acyl-CoA thioesterase 11
ACOT12	CACH-1|Cach|STARD15|THEAL|Cach|THEAL|STARD15|CACH|CACH1|STARD15	acyl-CoA thioesterase 12
ACOT13	HT012|PNAS-27|THEM2|HT012|THEM2|THEM2	acyl-CoA thioesterase 13
ACOT2	CTE-IA|CTE1A|MTE1|PTE2|PTE2A|ZAP128|Mte1|ZAP128|PTE2|PTE2A	acyl-CoA thioesterase 2
ACOT4	PTE-Ib|PTE1B|PTE2B|FLJ31235|PTE-Ib|PTE2B|PTE2B|PTEIB	acyl-CoA thioesterase 4
ACOT6	C14orf42|c14_5530|C14orf42|C14orf42	acyl-CoA thioesterase 6
ACOT7	ACH1|ACT|BACH|CTE-II|LACH|LACH1|hBACH|BACH|ACH1|ACT|CTE-II|LACH1|MGC1126|hBACH|BACH	acyl-CoA thioesterase 7
ACOT7L	BACHL	
ACOT8	HNAACTE|NAP1|PTE-1|PTE-2|PTE1|PTE2|hACTE-III|hTE|hACTE-III|hTE|PTE-2|NAP1|PTE1|ACTEIII|PTE1|PTE2	acyl-CoA thioesterase 8
ACOT9	ACATE2|CGI-16|MT-ACT48|MTACT48|CGI-16|MT-ACT48|ACATE2	acyl-CoA thioesterase 9
ACOX1	ACOX|PALMCOX|SCOX|PALMCOX|ACOX	acyl-CoA oxidase 1
ACOX2	BCOX|BRCACOX|BRCOX|CBAS6|THCCox|BRCACOX|BRCOX|THCCox	acyl-CoA oxidase 2
ACOX3	BRCOX|PRCOX	
ACOXL	FLJ11042	
ACOXL-AS1		
ACP1	HAAP|LMW-PTP|LMWPTP|HAAP|LMW-PTP|LMWPTP	acid phosphatase 1
ACP2	LAP|LAP	acid phosphatase 2| lysosomal
ACP4	ACPT|AI1J|ACPT|ACPT	acid phosphatase 4
ACP5	HPAP|TRACP5a|TRACP5b|TRAP|TrATPase|TRAP|HPAP	acid phosphatase 5| tartrate resistant
ACP6	ACPL1|LPAP|PACPL1|LPAP|ACPL1|ACPL1|LPAP	acid phosphatase 6| lysophosphatidic
ACP7	PAPL|PAPL1|FLJ16165|PAPL1|PAPL|PAPL|PAPL1	acid phosphatase 7| tartrate resistant (putative)
ACPP	5'-NT|ACP-3|ACP3|ACP3|ACP-3|PAP	acid phosphatase| prostate
ACR	ACRS	
ACRBP	CT23|OY-TES-1|SP32|SP32|OY-TES-1|CT23	acrosin binding protein
ACRC		
ACRPS		
ACRPV		
ACRV1	D11S4365|SP-10|SPACA2|SPACA2|SP-10|D11S4365	acrosomal vesicle protein 1
ACSBG1	BG|BG1|BGM|GR-LACS|LPD|BGM|FLJ30320|MGC14352|BG1|KIAA0631|hBG1|hsBG|BGM|KIAA0631|LPD	acyl-CoA synthetase bubblegum family member 1
ACSBG2	BGR|BRGL|PRTD-NY3|PRTDNY3|BGR|PRTD-NY3|DKFZp434K1635|BGR	acyl-CoA synthetase bubblegum family member 2
ACSF2	ACSMW|AVYV493|FLJ20920|ACSMW	acyl-CoA synthetase family member 2
ACSF3		
ACSL1	ACS1|FACL1|FACL2|LACS|LACS1|LACS2|LACS2|LACS|ACS1|LACS1|FACL1|FACL2|FACL1|FACL2|LACS|LACS1|LACS2	acyl-CoA synthetase long chain family member 1
ACSL3	ACS3|FACL3|LACS 3|LACS3|PRO2194|ACS3|PRO2194|FACL3|ACS3|FACL3|LACS3	acyl-CoA synthetase long chain family member 3
ACSL4	ACS4|FACL4|LACS4|MRX63|MRX68|ACS4|LACS4|FACL4|MRX63|MRX68|ACS4|FACL4|LACS4	acyl-CoA synthetase long chain family member 4
ACSL5	ACS2|ACS5|FACL5|ACS5|ACS2|FACL5|ACS5|FACL5	acyl-CoA synthetase long chain family member 5
ACSL6	ACS2|FACL6|LACS 6|LACS2|LACS5|KIAA0837|ACS2|LACS5|LACS2|FACL6|ACS2|FACL6|KIAA0837|LACS5	acyl-CoA synthetase long chain family member 6
ACSM1	BUCS1|MACS1|MACS1|BUCS1|BUCS1|LAE|MACS1	acyl-CoA synthetase medium chain family member 1
ACSM2A	A-923A4.1|ACSM2|A-923A4.1|MGC150530|ACSM2|ACSM2|MACS2	acyl-CoA synthetase medium chain family member 2A
